collection	subCollection	icon	title	subtitle	imageFileName	titleEN	subtitleEN	titleES	subtitleES	titleFR	subtitleFR	titleIT	subtitleIT
meditationskissen	meditationskissen-lotus-h-15cm-ohne-bestickung	collection_icon_meditationskissen-lotus-h-15cm.svg	Meditationskissen Lotus 15cm - ohne Bestickung	Das perfekte Rundkissen für vielseitige Einsatzmöglichkeiten ohne Bestickung.	collection_moodshot_meditationskissen-lotus-h-15cm-ohne-bestickung-2-1.jpg	Meditation cushion Lotus 15cm - without stitching	The perfect round cushion for a variety of uses - without stitching.	Cojín de meditación Lotus 15cm - sin bordado	El cojín redondo perfecto para múltiples posibilidades de uso, sin bordado.	Coussin de méditation Lotus 15cm - sans broderie	Le coussin rond parfait pour une utilisation polyvalente sans broderie.	Cuscino da meditazione Lotus 15cm - senza ricamo	Il cuscino rotondo perfetto per un uso versatil - senza ricamo.
meditationskissen	meditationskissen-lotus-h-15cm	collection_icon_meditationskissen-lotus-h-15cm.svg	Meditationskissen Lotus 15cm	Das perfekte Rundkissen für vielseitige Einsatzmöglichkeiten.	collection_moodshot_meditationskissen-lotus-h-15cm-2-1.jpg	Meditation Cushion Lotus 15cm	The perfect round cushion for versatile use.	Cojín de meditación Lotus 15cm	El cojín redondo perfecto para múltiples posibilidades de uso.	Coussin de méditation Lotus 15cm	Le coussin rond parfait pour des applications polyvalentes.	Cuscino da meditazione Lotus 15cm	Il cuscino rotondo perfetto per un uso versatile.
meditationskissen	meditationskissen-lotus-hoch-h-20cm	collection_icon_meditationskissen-lotus-h-20cm.svg	Meditationskissen Lotus 20cm	Perfekt bei großer Körpergröße oder wenig Hüftflexibilität.	collection_moodshot_meditationskissen-lotus-hoch-h-20cm-2-1.jpg	Meditation Cushion Lotus 20cm	Perfect for larger body shapes or less hip flexibility.	Cojín de meditación Lotus 20cm	Perfecto para personas de cuerpo grande o con poca flexibilidad de cadera.	Coussin de méditation Lotus 20cm	Parfait pour les personnes de grande taille ou ayant peu de souplesse au niveau des hanches.	Cuscino da meditazione Lotus 20cm	Perfetto per le persone con un corpo grande o con poca flessibilità dell'anca.
meditationskissen	meditationskissen-lotus-klein-h-10-cm	collection_icon_meditationskissen-lotus-h-10-cm.svg	Meditationskissen Lotus 10cm	Perfekt bei kleiner Körpergröße oder hoher Hüftflexibilität.	collection_moodshot_meditationskissen-lotus-klein-h-10-cm-2-1.jpg	Meditation Cushion Lotus 10cm	Perfect for smaller body types or more hip flexibility.	Cojín de meditación Lotus 10cm	Perfecto para personas de cuerpo pequeño o con mucha flexibilidad de cadera.	Coussin de méditation Lotus 10cm	Parfait pour les petits gabarits ou pour une grande souplesse des hanches.	Cuscino da meditazione Lotus 10cm	Perfetto per le persone con un corpo piccolo o con molta flessibilità dell'anca.
meditationskissen	zafu-meditationskissen-zen	collection_icon_meditationskissen-zen.svg	Zafukissen Zen	Das klassische Zafukissen mit viel Sitzfläche.	collection_moodshot_zafu-meditationskissen-zen-2-1.jpg	Zafu Cushion Zen	The classic zafu cushion with plenty of surface seating.	Cojín zafú Zen	El clásico cojín zafú Zen con amplia superficie de sentado.	Coussin Zafu zen	Le coussin Zafu classique avec beaucoup d'espace pour s'asseoir.	Cuscino Zafú Zen	Il classico cuscino Zafu con tanto spazio per sedersi.
meditationskissen	zafu-meditationskissen-zen-halbmond	collection_icon_meditationskissen-zen-halbmond.svg	Zafu Halbmondkissen Siddha	Das Zafu-Meditationskissen im ergonomischen Halbmond-Design.	collection_moodshot_zafu-meditationskissen-zen-halbmond-2-1.jpg	Zafu Half Moon Cushion Siddha	The Zafu meditation cushion in ergonomic half-moon design.	Cojín zafú media luna Siddha	El cojín de meditación zafú con ergonómico diseño media luna.	Coussin Zafu demi-lune Siddha	Le coussin de méditation Zafu au design ergonomique en demi-lune.	Cuscino Zafú a mezzaluna Siddha	Il cuscino da meditazione zafu con un design ergonomico a mezzaluna.
meditationskissen	yogakissen-halbmond-shanti	collection_icon_yogakissen-halbmond-shanti.svg	Halbmondkissen Shanti	Ideal für das Sitzen mit übergekreuzten Beinen.	collection_moodshot_yogakissen-halbmond-shanti-2-1.jpg	Half Moon Cushion Shanti	Ideal for sitting with legs crossed.	Cojines de media luna SHANTI	Ideal para sentarse con las piernas cruzadas.	Coussin demi-lune Shanti	Idéal pour s'asseoir avec les jambes croisées.	Cuscino a mezzaluna Shanti	Ideale per sedersi con le gambe incrociate.
meditationskissen	zafu-meditationskissen-zen-kapok	collection_icon_meditationskissen-zen.svg	Zafukissen Zen Kapok	Gefüllt mit naturbelassener, weicher Kapokfüllung.	collection_moodshot_zafu-meditationskissen-zen-kapok-2-1.jpg	Zafu Cushion Zen Kapok	Filled with natural, soft kapok filling.	Cojín zafú Zen con miraguano	Relleno de miraguano natural y suave.	Coussin Zafu zen Kapok	Rempli de kapok naturel et doux.	Cuscino Zafú Zen con Kapok	Riempito con ripieno di kapok naturale e morbido.
yogamatten	yogamatte-thrive		Yogamatte THRIVE	Hohe Dämpfung, 100% Recyclebar, Made in Spain.	collection_moodshot_yogamatte-thrive-2-1.jpg	Yoga Mat THRIVE	High cushioning, 100% Recyclable, Made in Spain.	Esterilla de yoga THRIVE	Alta amortiguación, 100% reciclable, fabricado en España.	Tapis de yoga THRIVE	Rembourrage élevé, 100% recyclable, fabriqué en Espagne.	Tappetino yoga THRIVE	Alta ammortizzazione, 100% riciclabile, prodotto in Spagna.
yogamatten	yogamatte-cork		Yogamatte CORK	Besonders rutschfest bei Schweiß.	collection_moodshot_yogamatte-cork-2-1.jpg	Yoga Mat CORK	Particularly non-slip when sweating.	Esterilla de yoga CORK	Extra antideslizante durante la sudoración.	Tapis de yoga CORK	Particulièrement antidérapant en cas de transpiration.	Tappetino yoga CORK	Particolarmente antiscivolo durante la sudorazione.
yogamatten	yogamatte-mudra-studio		Yogamatte Mudra Studio	Die perfekte Allround Yogamatte, leicht und vielseitig.	collection_moodshot_yogamatte-mudra-studio-2-1.jpg	Yoga Mat Mudra Studio	The perfect all-round yoga mat, lightweight and versatile.	Esterilla de yoga Mudra Studio	La perfecta esterilla de yoga con muchas aplicaciones, ligera y versátil.	Tapis de yoga Mudra Studio	Le tapis de yoga polyvalent idéal, léger et polyvalent.	Tappetino yoga Mudra Studio	Il perfetto tappetino da yoga a tutto tondo, leggero e versatile.
