product/id	product/subtitle
6153168519356	Hautstraffendes Set mit Beauty Roller & Tuchmaske.
6153168486588	Anti-Aging Tuchmaske mit Hyaluron für einen gesunden Glow.
6153169010876	Beruhigt gereizte Haut - für ein feines Hautbild.
6153176154300	Reichhaltige, straffende Pflege für faltenfreie & strahlende Haut.
6153169404092	Pures Arganöl für mehr Glanz & Glätte.
6153169600700	Strafft die Haut & sorgt für einen gesunden Glanz.
6153171402940	Intensive Lymphdrainage für entspannte Gesichtshaut.
6826168811708	Tiefenreinigendes Masken-Set gegen Hautunreinheiten & trockene Stellen.
6153174679740	Klärende Maske mit Heilerde gegen Mitesser & Unreinheiten.
6153174352060	3-teiliges Set gegen Mitesser & Hautunreinheiten.
6153176055996	100% natürliche Retinol Alternative für straffere & faltenfreie Haut.
6153177923772	Faltenreduzierendes Beauty-Set für strahlend, glatte Haut.
6153172418748	Hautpflege bei leichmäßigem Auftragen von Make-up.
6153168027836	Anti-Aging Beauty Roller aus schwarzer Jade für reife Haut
6813231382716	Pflege-Set für sichtbar regenerierte, strahlende & reine Haut
6153171665084	Milder und gründlicher Reinigungsschaum für alle Hauttypen.
6153169731772	Straffende Tagescreme mit Rosenquarz, Aloe Vera & Hayluron.
6654045126844	Faltenreduzierendes Set: Morgens Hyaluron, abends Bakuchiol.
6609451942076	Massagetools gegen Augenringe und Puffy Eyes.
6153172549820	Revitalisierende Augenpatches gegen Augenringe & Schwellungen.
6220801900732	Massage-Tools zur Entspannung & Festigung der Gesichtshaut.
6656783777980	Massage-Set aus Rosenquarz für eine straffere, faltenfreie Haut.
6153167798460	Sanftes Reinigungs-Set gegen Unreinheiten & kleine Fältchen.
6153175924924	Pflege-Routine für ein perfektes, reines & geschmeidiges Hautbild.
6153174024380	Gesichtsmassage-Tools aus Rosenquarz für entstresste Haut.
6153172648124	Spendet intensive Feuchtigkeit & sorgt für strahlende Haut.
6153177170108	Beauty Set für strahlend schöne Augen.
6153177301180	Beauty Roller mit 4 Heilsteinen für strahlende Haut.
6153174876348	Gummibärchen mit Hyaluronsäure für straffere Haut.
6153176285372	Augenpflege mit aufpolsternder Hyaluronsäure gegen Falten.
6153167503548	Straffendes feuchtigkeitsspendendes Serum mindert Linien & Fältchen.
6153170354364	Beauty Roller mit aufpolsternder Hyaluronsäure für intensive Feuchtigkeit.
6813233971388	Dein Set für die ultimative Feuchtigkeitspflege.
6153170550972	Jade Roller in Reisegröße gegen Stress, Augenringe & Puffy Eyes.
6153167896764	Beruhigender Beauty Roller aus Jade für normale Haut.
6153167110332	Reinigungsschwamm für fettige und unreine Haut.
6153167339708	Reinigungsschwamm für normale bis trockene Haut.
6153167143100	Reinigungsschwamm für reife und müde Haut.
6792766718140	Spendet intensive Feuchtigkeit & regeneriert unreine Haut.
6813230858428	Gesichts-Öl & Gua Sha zur Regeneration unreiner Haut.
6153172779196	Feuchtigkeitsspendendes & glättendes Gesichtswasser für reife Haut.
6153169338556	Regenerierendes Set mit Beauty Roller, Konjac Schwamm & Tuchmaske.
6153170682044	Erfrischt & pflegt die Haut für einen perfekten Start in den Tag.
6153167372476	Reinigendes Pflege-Set zu Regeneration über Nacht.
6153171271868	5-teiliges Pflegeset für hydrierte, strahlend, glatte Haut.
6537205711036	Effektives Pflege-Set gegen Unreinheiten, große Poren und Mitesser.
6153175531708	Wiederverwendbare Abschminkpads aus 100% Baumwolle.
6153171992764	Revitalisierendes Set mit Beuty Roller, Cleanser und Hyaluron Serum.
6153172582588	Feuchtigkeitsspendendes Set für den perfekten Teint.
6153168715964	Entschlackung, Aktivierung & Entspannung deiner Gesichtsmuskulatur.
6153167077564	Erfrischendes und feuchtigkeitsspendendes Gesichtswasser.
6737901322428	Armband mit Rosenquarz - lindert Spannungen & Stress.
6671140520124	Rosenquarz Kugelapplikator - glättet & erfrischt die Augenpartie.
6153169141948	Rosenquarz Flasche für revitalisierendes Edelsteinwasser.
6153167962300	Beruhigender Beauty-Roller für gestresste Haut.
6153168814268	Beruhigender Beauty-Roller für gestresste Haut in Reisegröße.
6153168388284	Revitalisierendes Pflege-Set für eine strahlend reine Haut.
6153174483132	Das perfekte Tool für ein gleichmäßiges Auftragen von Masken.
6153173303484	Bequemes Sweatshirt mit coolem Rosental Schriftzug.
6153178022076	Der perfekte Beauty Travel Bag fürs Flugzeug.
6153175269564	Beauty & Haircare Adventskalender für strahlende Haut und Haare.
6559248253116	Massage-Set gegen Unreinheiten & kleine Fältchen.
6153173237948	Entgiftendes Detox-Set für sichtbar reine & rosige Haut.
6153173074108	Detox-Set für feine Poren und gesunde Haut.
6573078937788	Hydration-Set mit Beauty Roller, Serum & Moisturizer.
6573064978620	Faltenreduzierendes Set mit Roller, Serum & Moisturizer.
6671127281852	Schützende Tagescreme mit SPF30 - ohne fettende Rückstände.
6671131148476	Schützendes Pflege-Set für jugendlich strahlende Haut.
6153170616508	Feuchtigkeitsspendendes Pflege-Set gegen müde, fahle Haut.
6230052503740	Bestselleren für eine strahlend schöne Haut.
6791071957180	Natürliches Gesichts-Öl für mehr Elastizität und gegen Unreinheiten.
6813230301372	Gesichts-Öl & Gua Sha zur Reduktion von Falten ohne ölige Rückstände.
6153168453820	Detoxing Beauty Roller gegen unreine Haut, Augenringe & Puffy Eyes.
6153169633468	Entstressender Kamm aus Rosenquarz für glänzende Haare.
6153168650428	Regenerierender Bergkristall Roller für empfindliche & reife Haut.
6153176449212	Roller mit emotional ausgleichender, aufbauender & stärkender Wirkung.
6153173041340	Massage-Tool zur Minderung von Falten & Schwellungen.
6153169993916	2 in 1 Roller geeignet für alle Körperpartien.
6153176809660	Massage-Tool für entspannte und entstresste Haut.
6153169240252	Pflegendes Peeling entfernt sanft abgestorbene Hautschüppchen.
6153176645820	Beauty Roller mit durchblutungsfördernder & entgiftender Wirkung.
6153175138492	Regenerierende Maske für strahlend schöne Augenpartien.
6153176744124	Revitalisierender Beauty Roller zur besseren Durchblutung.
6153171763388	Straffender Beauty Roller für eine strahlende Haut.
6153176547516	Beauty Roller gegen gestresste, müde Haut.
6153175892156	Vitamin C Serum für eine jugendlich strahlende Haut.
6673708908732	Reduziert Pigmentierungen & lässt müde Haut wieder strahlen.
6651740651708	Feuchtigkeitsspendende Maske mit hochdosierten Antioxidantien.
6227819135164	Straffendes Serum mit Rosenblütenwasser & Hyaluronsäure.
6273003946172	Set für aufgepolsterte, samtweiche Haut frei von Unreinheiten.
6813227581628	Das Set zur Steigerung Deines Lustempfindens.
6605763215548	Trainiert Beckenboden & steigert das Lustempfinden.
6813234430140	Das Set schützt vor Sonneneinstrahlung & mindert Falten
6813234790588	Alle Produkte versorgen deine Haut intensiv mit Feuchtigkeit. 
